,,,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,,,,,,,,,
Rk,Player,Pos,Tm,,Opp,,Boxscore,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
105,Riley Sheahan\sheahri01,C,EDM,,NJD,W,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,14:47,1,0,13,4,76.5
106,Brandon Sutter\suttebr03,C/RW,VAN,@,WPG,L,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,24,17:30,0,0,11,5,68.8
107,Chris Tanev\tanevch01,D,VAN,@,WPG,L,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,18:52,0,4,0,0,
108,Sami Vatanen\vatansa01,D,NJD,@,EDM,L,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,2:43,0,1,0,0,
109,Chris Wagner\wagnech01,C,BOS,@,DET,L,boxscore,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,13:40,1,0,2,1,66.7
110,Andreas Athanasiou\athanan01,C,DET,,BOS,W,boxscore,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,11:43,1,0,2,1,66.7
111,Jordie Benn\bennjo01,D,VAN,@,WPG,L,boxscore,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,24,17:11,0,2,0,0,
112,Jesper Boqvist\boqvije01,C,NJD,@,EDM,L,boxscore,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,10:06,1,0,0,0,
113,Jesper Bratt\brattje01,W,NJD,@,EDM,L,boxscore,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,12:49,0,0,0,0,
114,Will Butcher\butchwi01,D,NJD,@,EDM,L,boxscore,0,0,0,-1,0,0,0,0,0,0,0,0,0,,23,22:38,0,1,0,0,
115,Valtteri Filppula\filppva01,C,DET,,BOS,W,boxscore,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,21,15:35,1,0,8,3,72.7
116,Mike Green\greenmi03,D,DET,,BOS,W,boxscore,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,28,19:54,1,0,0,0,
117,Quinn Hughes\hughequ01,D,VAN,@,WPG,L,boxscore,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,22,19:56,0,1,0,0,
118,Marcus Johansson\johanma03,C/W,BUF,,TBL,L,boxscore,0,0,0,-1,0,0,0,0,0,0,0,0,0,,23,17:27,2,0,2,7,22.2
119,Colin Miller\milleco02,D,BUF,,TBL,L,boxscore,0,0,0,-1,0,0,0,0,0,0,0,0,0,,24,20:17,2,0,0,0,
120,Casey Mittelstadt\mitteca01,C,BUF,,TBL,L,boxscore,0,0,0,-1,0,0,0,0,0,0,0,0,0,,20,13:03,0,0,3,5,37.5
121,Tyler Myers\myersty01,D,VAN,@,WPG,L,boxscore,0,0,0,-1,0,0,0,0,0,0,0,0,5,0.0,27,19:54,0,2,0,0,
122,Tanner Pearson\pearsta01,LW,VAN,@,WPG,L,boxscore,0,0,0,-1,0,0,0,0,0,0,0,0,0,,21,14:48,0,0,0,0,
123,Elias Pettersson\petteel01,C,VAN,@,WPG,L,boxscore,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,21,18:08,1,0,0,1,0.0
124,Luke Schenn\schenlu01,D,TBL,@,BUF,W,boxscore,0,0,0,-1,0,0,0,0,0,0,0,0,0,,21,15:25,2,1,0,0,
125,Mikhail Sergachev\sergami01,D,TBL,@,BUF,W,boxscore,0,0,0,-1,0,0,0,0,0,0,0,0,0,,23,16:05,1,2,0,0,
126,Damon Severson\severda01,D,NJD,@,EDM,L,boxscore,0,0,0,-1,0,0,0,0,0,0,0,0,0,,27,24:12,1,2,0,0,
127,Conor Sheary\shearco01,LW,BUF,,TBL,L,boxscore,0,0,0,-1,0,0,0,0,0,0,0,0,0,,18,12:09,0,2,0,0,
128,Jeff Skinner\skinnje01,LW/C,BUF,,TBL,L,boxscore,0,0,0,-1,2,0,0,0,0,0,0,0,3,0.0,21,16:55,2,0,0,1,0.0
129,Vladimir Sobotka\sobotvl01,C,BUF,,TBL,L,boxscore,0,0,0,-1,0,0,0,0,0,0,0,0,0,,7,4:12,0,0,2,1,66.7
130,Jimmy Vesey\veseyji02,LW,BUF,,TBL,L,boxscore,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,10:52,1,1,0,0,
131,Jake Virtanen\virtaja01,RW,VAN,@,WPG,L,boxscore,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,21,14:09,0,0,0,0,
132,Pavel Zacha\zachapa01,C,NJD,@,EDM,L,boxscore,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,12:01,0,0,3,4,42.9
133,Alexander Edler\edleral01,D,VAN,@,WPG,L,boxscore,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,27,25:58,2,3,0,0,
134,Bo Horvat\horvabo01,C,VAN,@,WPG,L,boxscore,0,0,0,-2,2,0,0,0,0,0,0,0,4,0.0,19,15:04,0,0,4,7,36.4
135,Brad Marchand\marchbr03,LW,BOS,@,DET,L,boxscore,0,0,0,-2,7,0,0,0,0,0,0,0,0,,26,20:23,0,0,0,5,0.0
136,Mirco Mueller\muellmi01,D,NJD,@,EDM,L,boxscore,0,0,0,-2,0,0,0,0,0,0,0,0,0,,28,20:24,2,4,0,0,
137,Ondrej Palat\palaton01,LW,TBL,@,BUF,W,boxscore,0,0,0,-2,2,0,0,0,0,0,0,0,1,0.0,20,14:14,2,0,0,0,
138,David Pastrnak\pastrda01,RW,BOS,@,DET,L,boxscore,0,0,0,-2,4,0,0,0,0,0,0,0,5,0.0,27,23:38,1,0,0,0,
139,Wayne Simmonds\simmowa01,RW,NJD,@,EDM,L,boxscore,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,19,19:11,2,1,0,2,0.0
140,P.K. Subban\subbapk01,D,NJD,@,EDM,L,boxscore,0,0,0,-2,2,0,0,0,0,0,0,0,7,0.0,32,24:36,1,1,0,0,
141,Alexander Volkov\volkoal01,RW,TBL,@,BUF,W,boxscore,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,16,10:36,3,0,0,0,
142,Miles Wood\woodmi01,LW,NJD,@,EDM,L,boxscore,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,17,14:16,0,0,0,0,
143,Travis Zajac\zajactr01,C,NJD,@,EDM,L,boxscore,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,19,14:39,1,1,4,5,44.4
