,,,,,,Scoring,Scoring,Scoring,,,,,Special Teams,Special Teams,,Assists,Assists,Assists,Shot Data,Shot Data,Ice Time,Ice Time,,,,,
Rk,Player,Age,Tm,Pos,GP,G,A,PTS?,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
199,Nick Ritchie\ritchni01,24,ANA,LW,15,2,6,8,-2,24,0.6,1,1,0,1,5,1,0,29,6.9,213,14:12,6,19,0,4,0.0
200,Mikhail Sergachev\sergami01,21,TBL,D,13,0,8,8,6,14,1.3,0,0,0,0,6,2,0,23,0.0,245,18:48,17,16,0,0,
201,Jared Spurgeon\spurgja01,30,MIN,D,16,2,6,8,-7,4,1.0,2,0,0,0,4,2,0,30,6.7,367,22:56,21,16,0,0,
202,Brandon Sutter\suttebr03,30,VAN,C,16,5,3,8,5,7,1.1,5,0,0,0,3,0,0,39,12.8,245,15:20,7,3,80,97,45.2
203,Tyler Toffoli\toffoty01,27,LAK,C,15,4,4,8,-3,6,0.7,4,0,0,0,4,0,0,38,10.5,230,15:19,0,10,0,3,0.0
204,Kyle Turris\turriky01,30,NSH,C,16,4,4,8,0,4,0.8,3,1,0,2,3,1,0,28,14.3,223,13:54,1,1,48,59,44.9
205,James van Riemsdyk\vanrija01,30,PHI,LW,15,4,4,8,4,2,1.0,3,1,0,0,4,0,0,54,7.4,251,16:45,4,5,2,1,66.7
206,Sami Vatanen\vatansa01,28,NJD,D,14,4,4,8,4,6,1.7,3,1,0,0,2,2,0,22,18.2,321,22:55,21,10,0,0,
207,Jake Virtanen\virtaja01,23,VAN,RW,16,5,3,8,6,8,1.2,5,0,0,3,3,0,0,29,17.2,185,11:33,9,19,1,4,20.0
208,Blake Wheeler\wheelbl01,33,WPG,RW,16,5,3,8,-9,6,0.5,5,0,0,0,3,0,0,51,9.8,334,20:53,9,25,8,14,36.4
209,Keith Yandle\yandlke01,33,FLA,D,15,1,7,8,1,4,1.1,0,1,0,0,2,5,0,30,3.3,281,18:45,13,8,0,0,
210,Andreas Athanasiou\athanan01,25,DET,C,15,1,6,7,-19,6,-0.3,1,0,0,0,4,2,0,36,2.8,252,16:49,6,5,13,15,46.4
211,Mikael Backlund\backlmi01,30,CGY,C,19,3,4,7,-1,14,0.5,2,1,0,2,3,1,0,41,7.3,351,18:27,4,7,121,130,48.2
212,Pierre-Edouard Bellemare\bellepi01,34,COL,LW,16,3,4,7,2,2,0.7,3,0,0,0,3,0,1,17,17.6,208,13:00,10,8,85,93,47.8
213,Johnny Boychuk\boychjo01,36,NYI,D,14,1,6,7,3,0,1.3,0,1,0,0,6,0,0,22,4.5,255,18:14,25,24,0,0,
214,Derick Brassard\brassde01,32,NYI,C,15,5,2,7,-1,8,0.8,5,0,0,1,2,0,0,25,20.0,227,15:09,8,20,63,59,51.6
215,Christian Dvorak\dvorach01,23,ARI,C,16,6,1,7,2,2,1.0,4,2,0,2,1,0,0,30,20.0,255,15:55,9,4,97,70,58.1
216,Oliver Ekman-Larsson\ekmanol01,28,ARI,D,16,2,5,7,2,4,1.5,2,0,0,0,4,1,0,33,6.1,402,25:09,19,23,0,0,
217,Jesper Fast\fastje01,28,NYR,RW,13,2,5,7,2,4,0.6,2,0,0,0,5,0,0,15,13.3,210,16:07,11,15,2,4,33.3
218,Valtteri Filppula\filppva01,35,DET,C,17,2,5,7,-11,4,0.1,2,0,0,0,4,1,0,17,11.8,271,15:56,5,3,77,80,49.0
219,Cody Glass\glassco01,20,VEG,C,17,3,4,7,0,4,0.7,3,0,0,0,1,3,0,27,11.1,248,14:36,2,9,21,38,35.6
220,Barclay Goodrow\goodrba01,26,SJS,RW,17,4,3,7,-1,35,0.8,4,0,0,1,2,0,1,20,20.0,239,14:03,16,24,63,53,54.3
